title,category,slug,soc_code,median_pay_annual,median_pay_hourly,entry_education,work_experience,training,num_jobs_2024,projected_employment_2034,outlook_pct,outlook_desc,employment_change,dof_risk_tier,url
"Chemical, biological & physical scientists",Science & Engineering,chemical-biological-physical-scientists,Chemical scientists; Biological scientists and biochemists; Physical scientists,56568,27.89,,,,26600,,8,Much faster than average,,medium,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=155
Environmental/conservation specialists,Science & Engineering,environmental-conservation-specialists,Conservation and environmental associate professionals; Conservation professionals; Environment professionals,56568,27.89,,,,6700,,6,Much faster than average,,medium,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=155
Health and safety officers,Science & Engineering,health-and-safety-officers,Health and safety officers,56568,27.89,,,,6600,,,,,medium,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=155
Other engineering professionals,Science & Engineering,other-engineering-professionals,Mechanical engineers; Electrical engineers; Electronics engineers,56568,27.89,,,,25300,,8,Much faster than average,,medium,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=155
Production managers in manufacturing,Science & Engineering,production-managers-in-manufacturing,Production managers and directors in manufacturing,56568,27.89,,,,28300,,11,Much faster than average,,medium,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=155
"Production, design & QC engineers",Science & Engineering,production-design-qc-engineers,Production and process engineers; Design and development engineers; Quality control and planning engineers,56568,27.89,,,,21600,,8,Much faster than average,,medium,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=155
Science & engineering technicians,Science & Engineering,science-engineering-technicians,Laboratory technicians; Electrical and electronic technicians; Engineering technicians,56568,27.89,,,,33400,,8,Much faster than average,,medium,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=155
ICT professionals n.e.c.,ICT,ict-professionals-n-e-c,"IT business analysts, architects and systems designers; Web design and development professionals; Information technology & telecommunications professionals n.e.c.",77395,38.16,Master's degree,,,25200,,9,Much faster than average,,high,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=159
ICT specialist & project managers,ICT,ict-specialist-project-managers,Information technology and telecommunications directors; IT specialist managers; IT project and programme managers,77395,38.16,Master's degree,,,31600,,10,Much faster than average,,high,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=159
IT technicians,ICT,it-technicians,IT operations technicians; IT user support technicians,77395,38.16,Master's degree,,,27500,,6,Much faster than average,,high,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=159
Programmers & software developers,ICT,programmers-software-developers,Programmers and software development professionals,77395,38.16,Doctoral or professional degree,,,54800,,12,Much faster than average,,high,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=159
Accountants & tax experts,Business & Financial,accountants-tax-experts,Chartered and certified accountants and taxation experts,64457,31.78,Postsecondary nondegree award,,,56600,,7,Much faster than average,,high,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=162
"Actuaries, economists & statisticians; other business professionals",Business & Financial,actuaries-economists-statisticians-other-business-professionals,"Actuaries, economists and statisticians; Business and related research professionals; Business, research and administrative professionals n.e.c.",64457,31.78,,,,16600,,6,Much faster than average,,high,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=162
Financial accounts managers,Business & Financial,financial-accounts-managers,Financial accounts managers,64457,31.78,,,,14900,,10,Much faster than average,,high,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=162
Financial administrative occupations,Business & Financial,financial-administrative-occupations,"Credit controllers; Book-keepers, payroll managers and wages clerks; Bank and post office clerks",64457,31.78,Postsecondary nondegree award,,,66500,,2,As fast as average,,high,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=162
Financial analysts & insurance underwriters,Business & Financial,financial-analysts-insurance-underwriters,Brokers; Insurance underwriters; Finance and investment analysts and advisers,64457,31.78,,,,25100,,6,Much faster than average,,high,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=162
Financial managers & directors,Business & Financial,financial-managers-directors,Financial managers and directors; Financial institution managers and directors,64457,31.78,,,,20800,,10,Much faster than average,,high,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=162
HR managers & officers,Business & Financial,hr-managers-officers,Human resource managers and directors; Human resources and industrial relations officers,64457,31.78,,,,24100,,12,Much faster than average,,high,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=162
"Mgt. consultants, business analysts & project managers",Business & Financial,mgt-consultants-business-analysts-project-managers,Management consultants and business analysts; Business and financial project management professionals,64457,31.78,,,,37200,,8,Much faster than average,,high,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=162
Other business associate professionals,Business & Financial,other-business-associate-professionals,"Estimators, valuers and assessors; Importers and exporters; Financial and accounting technicians",64457,31.78,,,,32300,,8,Much faster than average,,high,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=162
Health associate professionals,Healthcare,health-associate-professionals,Paramedics; Pharmaceutical technicians; Medical and dental technicians,43706,21.55,Bachelor's degree,,,19200,,8,Much faster than average,,low,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=166
Medical practitioners,Healthcare,medical-practitioners,Medical practitioners,43706,21.55,Doctoral or professional degree,,,22800,,6,Much faster than average,,low,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=166
Nurses & midwives,Healthcare,nurses-midwives,Nurses and midwives,43706,21.55,Doctoral or professional degree,,,81300,,4,Faster than average,,low,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=166
Other healthcare professionals,Healthcare,other-healthcare-professionals,Psychologists; Pharmacists; Opticians (including dispensing opticians),43706,21.55,Doctoral or professional degree,,,29200,,5,Much faster than average,,low,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=166
Therapy professionals,Healthcare,therapy-professionals,Physiotherapists; Occupational therapists; Speech and language therapists,43706,21.55,Doctoral or professional degree,,,17200,,7,Much faster than average,,low,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=166
Educational support assistants,Education,educational-support-assistants,Teaching assistants; Educational support assistants,57092,28.15,Postsecondary nondegree award,,,33600,,8,Much faster than average,,medium,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=170
Higher & further education teaching professionals,Education,higher-further-education-teaching-professionals,Further and higher education teaching professionals,57092,28.15,Postsecondary nondegree award,,,25800,,8,Much faster than average,,medium,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=170
Primary & nursery teachers,Education,primary-nursery-teachers,Primary and nursery education teaching professionals,57092,28.15,High school diploma or equivalent,,,49200,,0,Slower than average,,medium,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=170
Secondary teachers,Education,secondary-teachers,Secondary education teaching professionals,57092,28.15,High school diploma or equivalent,,,43600,,6,Much faster than average,,medium,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=170
Teaching & other educational professionals,Education,teaching-other-educational-professionals,Senior professionals of educational establishments; Special education teaching professionals; Education advisers and school inspectors,57092,28.15,Postsecondary nondegree award,,,29200,,4,Faster than average,,medium,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=170
"Trainers & instructors, career guidance",Education,trainers-instructors-career-guidance,Vocational and industrial trainers and instructors; Careers advisers and vocational guidance specialists; Driving instructors,57092,28.15,,,,12500,,8,Much faster than average,,medium,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=170
"Care workers, home carers, etc.",Social & Care,care-workers-home-carers-etc,"Houseparents and residential wardens; Care workers and home carers; Residential, day and domiciliary care managers and proprietors",43856,21.63,,,,70700,,3,As fast as average,,low,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=173
Childminders etc.,Social & Care,childminders-etc,Nursery nurses and assistants and playworkers; Childminders and related occupations; Playgroup leaders,43856,21.63,,,,,,,,,low,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=173
Other caring services,Social & Care,other-caring-services,"Nursing auxiliaries and assistants; Ambulance staff (excluding paramedics); Undertakers, mortuary and crematorium assistants",43856,21.63,Postsecondary nondegree award,,,22400,,5,Much faster than average,,low,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=173
Social workers & welfare professionals,Social & Care,social-workers-welfare-professionals,Social workers; Probation officers; Clergy,43856,21.63,,,,12900,,8,Much faster than average,,low,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=173
Welfare & housing associate professionals,Social & Care,welfare-housing-associate-professionals,Youth and community workers; Child and early years officers; Housing officers,43856,21.63,,,,11300,,0,Slower than average,,low,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=173
"Barristers, judges, solicitors & related professionals",Legal & Security,barristers-judges-solicitors-related-professionals,Barristers and judges; Solicitors; Legal professionals n.e.c.,61803,30.47,,,,15900,,2,As fast as average,,medium,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=176
Other protective service occupations,Legal & Security,other-protective-service-occupations,"Officers in armed forces; Senior officers in fire, ambulance, prison and related services; NCOs and other ranks",61803,30.47,,,,14900,,2,As fast as average,,medium,https://a.storyblok.com/f/70398/x/893ebacfd9/national-skills-bulletin-2025.pdf#page=176
